acceptedname	id	speciesbeid	colid	vernacularnamefr	vernacularnamenl	scientificnameauthorship	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom
Agonum emarginatum	16405	18998				(Gyllenhal, 1827)	37275	1a	species		accepted	50250	2015-04-29			45974	Animalia
Agonum emarginatum	51280					(Gyllenhal, 1827)			species		accepted		2017-02-15				
Alona	51268					Baird, 1843			genus		accepted		2016-07-06				
Alona	51274					Baird, 1843			genus		accepted		2016-07-06				
Amanita excelsa	26780	30138			grauwe amaniet	(Fr.:Fr.) Bertill.	41810	1a	species		accepted	54824	2015-04-29			3902	Fungi
Amanita excelsa	51486					Bertill., 1866 (Fr.)			species		accepted		2017-02-21				
Amanita excelsa	51819					Bertill., 1866 (Fr.)			species		accepted		2018-10-26				
Anas clypeata	3521	4556		canard souchet	slobeend	Linnaeus, 1758	40315	1a	species		accepted	53312	2015-04-29			45974	Animalia
Anas clypeata	51681					Linnaeus, 1758			species		accepted		2018-08-22				
Anas penelope	3510	4545		canard siffleur	smient	Linnaeus, 1758	40315	1b	species		accepted	53312	2015-04-29			45974	Animalia
Anas penelope	51689					Linnaeus, 1758			species		accepted		2018-08-22				
Anas querquedula	3512	4547		sarcelle d'été	zomertaling	Linnaeus, 1758	40315	1a	species		accepted	53312	2015-04-29			45974	Animalia
Anas querquedula	51699					Linnaeus, 1758			species		accepted		2018-08-27				
Anas sibilatrix	51683					Poeppig, 1829			species		accepted		2018-08-22				
Anas sibilatrix	50153		urn:lsid:catalogueoflife.org:taxon:eff337a6-29c1-102b-9a4a-00304854f820			Poeppig, 1829			species		accepted		2015-04-29				
Anas strepera	3513	4548		canard chipeau	krakeend	Linnaeus, 1758	40315	1a	species		accepted	53312	2015-04-29			45974	Animalia
Anas strepera	51682					Linnaeus, 1758			species		accepted		2018-08-22				
Anchusa arvensis	20772	23529		lycopside	kromhals	(L.) M.Bieb.	38850	1a	species		accepted	51842	2015-04-29			45975	Plantae
Anchusa arvensis	51554					M. Bieb. (L.)			species		accepted		2017-02-22				
Anoplotrupes stercorosus	18127	20824				(Scriba, 1791)	37798	0a	species		accepted	50782	2015-04-29			45974	Animalia
Anoplotrupes stercorosus	51697					(Scriba, 1791)			species		accepted		2018-08-27				
Arrhenatherum elatius	21239	23986		fromentin	glanshaver	(L.) J.Presl & C.Presl	39147	1a	species		accepted	52140	2015-04-29			45975	Plantae
Arrhenatherum elatius	51800					J.Presl & C.Presl (L.)			species		accepted		2018-09-13				
Aulacaspis	34645	47617				Cockerell, 1893	44251		genus		to determine	57430	2015-04-29			45974	Animalia
Aulacaspis	44251	57430					45616		family		to determine	58794	2015-04-29			45974	Animalia
Bombus	34306	47278			hommels	Latreille, 1802	44149		genus		to determine	57328	2015-04-29			45974	Animalia
Bombus	51039					Latreille, 1802			genus		accepted		2015-12-16				
Bromus madritensis	51429					L.			species		accepted		2017-02-21				
Bromus madritensis	51502					L.			species		accepted		2017-02-21				
Cardamine flexuosa	20801	23557		cardamine des bois	bosveldkers	With.	38872	1a	species		accepted	51864	2015-04-29			45975	Plantae
Cardamine flexuosa	51616					With.			species		accepted		2017-03-13				
Carduelis flammea	3484	4519		sizerin flammé	barmsijs	(Linnaeus, 1758)	40371	1a	species		accepted	53367	2015-04-29			45974	Animalia
Carduelis flammea	50980					(Linnaeus, 1758)			species		accepted		2015-12-16				
Cerastium fontanum vulgare	1079	1987			gewone hoornbloem	(Hartm.) Greuter & Burdet	20863	1a	subspecies		accepted	23618	2015-04-29			45975	Plantae
Cerastium fontanum vulgare	51803					Greuter & Burdet (Hartm.)			subspecies		accepted		2018-09-13				
Ceriodaphnia	51263					Dana, 1853			genus		accepted		2016-07-06				
Ceriodaphnia	51269					Dana, 1853			genus		accepted		2016-07-06				
Clitocybe gibba	27588	32387			slanke trechterzwam	(Pers.:Fr.) P. Kumm.	42169	1a	species		accepted	55194	2015-04-29			3902	Fungi
Clitocybe gibba	51823					P.Kumm. (Pers.)			species		accepted		2018-10-26				
Codium fragile	24679	27503			viltwier	(Suringar) Hariot	40785	2a	species		accepted	53781	2015-04-29				
Codium fragile	24680	27504				(Van Goor) P.C. Silva	40785	2a	species		accepted	53781	2015-04-29				
Colurella uncinata uncinata	46613	59901				(Müller, 1773)	46610		subspecies		accepted	59898	2015-04-29			45974	Animalia
Colurella uncinata uncinata	46614	59902				(Müller 1773)	46610		subspecies		accepted	59898	2015-04-29			45974	Animalia
Crataegus laevigata	21410	24152		aubépine à deux styles	tweestijlige meidoorn	(Poir.) DC.	39242	1a	species		accepted	52235	2015-04-29			45975	Plantae
Crataegus laevigata	51313					DC. (Poir.)			species		accepted		2017-02-15				
Cryphia domestica	22818	25569		perle	lichte korstmosuil	(Hüfnagel, 1766)	39908	0a	species		accepted	52904	2015-04-29			45974	Animalia
Cryphia domestica	51293					Hufnagel, 1766			species		accepted		2017-02-15				
Cryphia raptricula	22820	25571		bryophile fraisillée	donkere korstmosuil	(Denis & Schiffermüller, 1775)	39908	0a	species		accepted	52904	2015-04-29			45974	Animalia
Cryphia raptricula	51443					Denis & Schiffermüller, 1775			species		accepted		2017-02-21				
Dactylorhiza fuchsii	3264	4303			bosorchis	(Druce) Soó	39113	1a	species		accepted	52105	2015-04-29			45975	Plantae
Dactylorhiza fuchsii	51054					Soó (Druce)	39113		species		accepted		2016-01-07			45975	Plantae
Dendrocopos medius	51684					(Linnaeus, 1758)			species		accepted		2018-08-22				
Dendrocopos medius	3435	4472		pic mar	middelste bonte specht	(Linnaeus, 1758)	40424	1a	species		accepted	53420	2015-04-29			45974	Animalia
Dendrocopos minor	51685					(Linnaeus, 1758)			species		accepted		2018-08-22				
Dendrocopos minor	3436	4473		pic épeichette	kleine bonte specht	(Linnaeus, 1758)	40424	1a	species		accepted	53420	2015-04-29			45974	Animalia
Dipsacus sylvestris	51799					Huds.			species		accepted		2018-09-13				
Dipsacus sylvestris	51808					Huds.			species		accepted		2018-09-13				
Discula quercina	28497	34153				(Cooke) Sacc.	17886	1a	species		accepted	55419	2015-04-29			3902	Fungi
Discula quercina	28496	34152				(Westend.) Arx	17886		species		anamorph	55419	2015-04-29			3902	Fungi
Draba verna	50385		urn:lsid:catalogueoflife.org:taxon:2ecd42b2-4661-11e1-9b0d-e752e483e0da			L.			species		accepted		2015-04-29				
Draba verna	51325					L.			species		accepted		2017-02-15				
Elymus repens	50394		urn:lsid:catalogueoflife.org:taxon:a1a68496-d976-11e1-a7f8-569cdfeac142			(L.) Gould			species		accepted		2015-04-29				
Elymus repens	51810					Gould (L.)			species		accepted		2018-09-13				
Erysiphe hyperici	28854	34685			hertshooimeeldauw	(Wallr.) S. Blumer	42466	3c	species		accepted	55536	2015-04-29			3902	Fungi
Erysiphe hyperici	51353					S. Blumer, 1933 (Wallr.)			species		accepted		2017-02-15				
Galerina vittaeformis form. bispora	53	150					443	1a	forma		accepted	896	2015-04-29			3902	Fungi
Galerina vittaeformis form. bispora	51	148					441	1a	forma		accepted	894	2015-04-29			3902	Fungi
Galerina vittaeformis form. tetraspora	52	149					443	1a	forma		accepted	896	2015-04-29			3902	Fungi
Galerina vittaeformis form. tetraspora	50	147					441	1a	forma		accepted	894	2015-04-29			3902	Fungi
Galerina vittiformis	50450		urn:lsid:catalogueoflife.org:taxon:d6c8b4db-2dc5-11e0-98c6-2ce70255a436			(Fr.) Singer 1950			species		accepted		2015-04-29				
Galerina vittiformis	51784					Singer, 1950 (Fr.)			species		accepted		2018-08-27				
Galium parisiense	51334					L.			species		accepted		2017-02-15				
Galium parisiense	51553					L.			species		accepted		2017-02-22				
Gammaridae	51255								family		accepted		2016-07-06				
Gammaridae	51242								family		accepted		2016-07-06				
Glossiphonia	35514	48495					44293		genus		to determine	57471	2015-04-29			45974	Animalia
Glossiphonia	51252					Johnson, 1816			genus		accepted		2016-07-06				
Haplophthalmus mengei	45977	59200				Zaddach, 1844	34269		species		accepted	47241	2015-04-29			45974	Animalia
Haplophthalmus mengei	2413	3450			kleiribbel	(Zaddach, 1844)	34269	1a	species		accepted	47241	2015-04-29			45974	Animalia
Hemimycena lactea	29438	36135			sneeuwwitte mycena	(Pers.:Fr.) Singer	42697	1a	species		accepted	55790	2015-04-29			3902	Fungi
Hemimycena lactea	51825					Singer (Pers.)			species		accepted		2018-10-26				
Hygrocybe conica	29642	36782			zwartwordende wasplaat	(Schaeff.:Fr.) P. Kumm.	42769	1a	species		accepted	55866	2015-04-29			3902	Fungi
Hygrocybe conica	51785					P.Kumm. (Schaeff.)			species		accepted		2018-08-27				
Hygrocybe glutinipes	4988	6058			kleverige wasplaat	(J.E. Lange) R. Haller	42769	1a	species		accepted	55866	2015-04-29			3902	Fungi
Hygrocybe glutinipes	51660					R. Haller Aar., 1956 (J.E. Lange)			species		accepted		2017-03-14				
Hypericum dubium	20922	23675			kantig hertshooi	Leers	38944	1a	species		accepted	51936	2015-04-29			45975	Plantae
Hypericum dubium	51651					Leers			species		accepted		2017-03-14				
Hypholoma fasciculare	50508		urn:lsid:catalogueoflife.org:taxon:9d0aa363-e2a9-11e3-805d-020044200006			P. Kumm. 1871			species		accepted		2015-04-29				
Hypholoma fasciculare	50509								species		accepted		2015-04-29				
Lactarius vellereus	50556		urn:lsid:catalogueoflife.org:taxon:d6e71cea-2dc5-11e0-98c6-2ce70255a436			(Fr.) Fr. 1838			species		accepted		2015-04-29				
Lactarius vellereus	51498					Fr., 1838 (Fr.)			species		accepted		2017-02-21				
Lepidium draba	20822	23578		cardaire drave	pijlkruidkers	L.	38886	2a	species		accepted	51878	2015-04-29			45975	Plantae
Lepidium draba	51624					L.			species		accepted		2017-03-13				
Leratiomyces squamosus	51832					Bridge & Spooner, 2008 (Pers.)			species		accepted		2018-11-21				
Leratiomyces squamosus	51485					Bridge & Spooner, 2008 (Pers.)			species		accepted		2017-02-21				
Lycoperdon pyriforme	30160	37783			peervormige stuifzwam	Schaeff.:Pers.	42920	1a	species		accepted	56034	2015-04-29			3902	Fungi
Lycoperdon pyriforme	51821					Schaeff.			species		accepted		2018-10-26				
Matricaria discoidea	20727	23485		matricaire discoïde	schijfkamille	DC.	38820	2a	species		accepted	51812	2015-04-29			45975	Plantae
Matricaria discoidea	51813					DC.			species		accepted		2018-09-13				
Morchella esculenta	4246	5274			gewone morielje	(L.:Fr.) Pers.	43025	1a	species		accepted	56145	2015-04-29			3902	Fungi
Morchella esculenta	51694					Pers. (L.)			species		accepted		2018-08-22				
Myxarium nucleatum	30529	38753			klontjestrilzwam	Wallr.	43058	1a	species		accepted	56179	2015-04-29			3902	Fungi
Myxarium nucleatum	51441					Wallr., 1833			species		accepted		2017-02-21				
Omphaloscelis lunosa	22964	25715		omphaloscélis à lunule	maansikkeluil	(Haworth, 1809)	39975	0a	species		accepted	52973	2015-04-29			45974	Animalia
Omphaloscelis lunosa	51442					Haworth, 1809			species		accepted		2017-02-21				
Panellus serotinus	30875	39548			groene schelpzwam	(Pers.) Kühner	43191	1a	species		accepted	56313	2015-04-29			3902	Fungi
Panellus serotinus	51476					Kühner, 1950 (Pers.)			species		accepted		2017-02-21				
Phallus impudicus	4269	5298			grote stinkzwam	L.:Pers.	43275	1a	species		accepted	56406	2015-04-29			3902	Fungi
Phallus impudicus	51365					L., 1753			species		accepted		2017-02-15				
Phytophthora nicotianae	31695	41068					43287	1a	species		accepted	56418	2015-04-29			3902	Fungi
Phytophthora nicotianae	31694	41067				Breda de Haan, 1896	43287	1a	species		accepted	56418	2015-04-29			3902	Fungi
Polysticta	40330	53326				Eyton, 1836	44941		genus		to determine	58119	2015-04-29			45974	Animalia
Polysticta	43358	56490							genus		to determine	59179	2015-04-29				
Potamopyrgus	41015	54015				Stimpson, 1865	45144		genus		to determine	58322	2015-04-29			45974	Animalia
Potamopyrgus	51259					Stimpson, 1865			genus		accepted		2016-07-06				
Pseudepidalea viridis	51520					(Laurenti, 1768)			species		accepted		2017-02-22				
Pseudepidalea viridis	51794					(Laurenti, 1768)			species		accepted		2018-08-27				
Pseudostaurosira parasitica	51111					Morales, 2003 (W.Smith)			species		accepted		2016-07-06				
Pseudostaurosira parasitica	51158					Morales, 2003 (W.Smith)			species		accepted		2016-07-06				
Robinia pseudoacacia	21035	23786		robinier faux-acacia	robinia	L.	39002	2a	species		accepted	51994	2015-04-29			45975	Plantae
Robinia pseudoacacia	51795					L.			species		accepted		2018-09-13				
Russula atropurpurea	51831					Britzelm. (Krombh.)			species		accepted		2018-11-21				
Russula atropurpurea	51828					Britzelm. (Krombh.)			species		accepted		2018-10-26				
Saccharomyces bayanus	32518	43454				Saccardo, 1895	43551	1a	species		accepted	56697	2015-04-29			3902	Fungi
Saccharomyces bayanus	32519	43455				Saccardo, 1895	43551	1a	species		accepted	56697	2015-04-29			3902	Fungi
Saccharomyces cerevisiae	32522	43469			bakkersgist	Meyen ex E.C. Hansen 1883	43551	1a	species		accepted	56697	2015-04-29			3902	Fungi
Saccharomyces cerevisiae	32523	43470				Meyen ex E.C. Hansen 1883	43551	1a	species		accepted	56697	2015-04-29			3902	Fungi
Sambucus nigra	20856	23611		sureau noir	gewone vlier	L.	38908	1a	species		accepted	51900	2015-04-29			45975	Plantae
Sambucus nigra	51796					L.			species		accepted		2018-09-13				
Securigera varia	21036	23787		coronille bigarrée	bont kroonkruid	(L.) Lassen	39003	1a	species		accepted	51995	2015-04-29			45975	Plantae
Securigera varia	51401					Lassen (L.)			species		accepted		2017-02-20				
Solanum triflorum	21519	24257		morelle à trois fleures	driebloemige nachtschade	Nutt.	39293	2a	species		accepted	52286	2015-04-29			45975	Plantae
Solanum triflorum	51440					Nutt.			species		accepted		2017-02-21				
Tetinka	51284					Barrande, 1881			genus		accepted		2017-02-15				
Tetinka	51285					Barrande, 1881			genus		accepted		2017-02-15				
Tubaria furfuracea	50937		urn:lsid:catalogueoflife.org:taxon:d6e64119-2dc5-11e0-98c6-2ce70255a436			(Pers.) Gillet 1876			species		accepted		2015-04-29				
Tubaria furfuracea	51390					Gillet, 1876 (Pers.)			species		accepted		2017-02-15				
Ulmus minor	21531	24269		orme champêtre	gladde iep	Mill.	39302	1a	species		accepted	52295	2015-04-29			45975	Plantae
Ulmus minor	51789					Mill.			species		accepted		2018-08-27				
