id	acceptedname	scientificnameauthorship	n	speciesbeid	colid	vernacularnamefr	vernacularnamenl	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom
50509	Hypholoma fasciculare		268							species		accepted		2015-04-29				
51259	Potamopyrgus	Stimpson, 1865	169							genus		accepted		2016-07-06				
51274	Alona	Baird, 1843	119							genus		accepted		2016-07-06				
51325	Draba verna	L.	100							species		accepted		2017-02-15				
51353	Erysiphe hyperici	S. Blumer, 1933 (Wallr.)	87							species		accepted		2017-02-15				
26780	Amanita excelsa	(Fr.:Fr.) Bertill.	29	30138			grauwe amaniet	41810	1a	species		accepted	54824	2015-04-29			3902	Fungi
51486	Amanita excelsa	Bertill., 1866 (Fr.)	18							species		accepted		2017-02-21				
51284	Tetinka	Barrande, 1881	17							genus		accepted		2017-02-15				
51280	Agonum emarginatum	(Gyllenhal, 1827)	15							species		accepted		2017-02-15				
50385	Draba verna	L.	14		urn:lsid:catalogueoflife.org:taxon:2ecd42b2-4661-11e1-9b0d-e752e483e0da					species		accepted		2015-04-29				
51697	Anoplotrupes stercorosus	(Scriba, 1791)	13							species		accepted		2018-08-27				
51242	Gammaridae		12							family		accepted		2016-07-06				
50153	Anas sibilatrix	Poeppig, 1829	11		urn:lsid:catalogueoflife.org:taxon:eff337a6-29c1-102b-9a4a-00304854f820					species		accepted		2015-04-29				
31694	Phytophthora nicotianae	Breda de Haan, 1896	9	41067				43287	1a	species		accepted	56418	2015-04-29			3902	Fungi
51685	Dendrocopos minor	(Linnaeus, 1758)	8							species		accepted		2018-08-22				
51268	Alona	Baird, 1843	7							genus		accepted		2016-07-06				
51442	Omphaloscelis lunosa	Haworth, 1809	7							species		accepted		2017-02-21				
50394	Elymus repens	(L.) Gould	6		urn:lsid:catalogueoflife.org:taxon:a1a68496-d976-11e1-a7f8-569cdfeac142					species		accepted		2015-04-29				
51365	Phallus impudicus	L., 1753	6							species		accepted		2017-02-15				
51401	Securigera varia	Lassen (L.)	6							species		accepted		2017-02-20				
21035	Robinia pseudoacacia	L.	5	23786		robinier faux-acacia	robinia	39002	2a	species		accepted	51994	2015-04-29			45975	Plantae
30160	Lycoperdon pyriforme	Schaeff.:Pers.	5	37783			peervormige stuifzwam	42920	1a	species		accepted	56034	2015-04-29			3902	Fungi
51252	Glossiphonia	Johnson, 1816	4							genus		accepted		2016-07-06				
51263	Ceriodaphnia	Dana, 1853	4							genus		accepted		2016-07-06				
51441	Myxarium nucleatum	Wallr., 1833	4							species		accepted		2017-02-21				
51694	Morchella esculenta	Pers. (L.)	4							species		accepted		2018-08-22				
51293	Cryphia domestica	Hufnagel, 1766	3							species		accepted		2017-02-15				
51429	Bromus madritensis	L.	3							species		accepted		2017-02-21				
51443	Cryphia raptricula	Denis & Schiffermüller, 1775	3							species		accepted		2017-02-21				
51476	Panellus serotinus	Kühner, 1950 (Pers.)	3							species		accepted		2017-02-21				
51485	Leratiomyces squamosus	Bridge & Spooner, 2008 (Pers.)	3							species		accepted		2017-02-21				
51502	Bromus madritensis	L.	3							species		accepted		2017-02-21				
51553	Galium parisiense	L.	3							species		accepted		2017-02-22				
51660	Hygrocybe glutinipes	R. Haller Aar., 1956 (J.E. Lange)	3							species		accepted		2017-03-14				
50508	Hypholoma fasciculare	P. Kumm. 1871	2		urn:lsid:catalogueoflife.org:taxon:9d0aa363-e2a9-11e3-805d-020044200006					species		accepted		2015-04-29				
51054	Dactylorhiza fuchsii	Soó (Druce)	2					39113		species		accepted		2016-01-07			45975	Plantae
51158	Pseudostaurosira parasitica	Morales, 2003 (W.Smith)	2							species		accepted		2016-07-06				
51390	Tubaria furfuracea	Gillet, 1876 (Pers.)	2							species		accepted		2017-02-15				
51440	Solanum triflorum	Nutt.	2							species		accepted		2017-02-21				
51624	Lepidium draba	L.	2							species		accepted		2017-03-13				
51651	Hypericum dubium	Leers	2							species		accepted		2017-03-14				
51683	Anas sibilatrix	Poeppig, 1829	2							species		accepted		2018-08-22				
51699	Anas querquedula	Linnaeus, 1758	2							species		accepted		2018-08-27				
50	Galerina vittaeformis form. tetraspora		1	147				441	1a	forma		accepted	894	2015-04-29			3902	Fungi
51	Galerina vittaeformis form. bispora		1	148				441	1a	forma		accepted	894	2015-04-29			3902	Fungi
52	Galerina vittaeformis form. tetraspora		1	149				443	1a	forma		accepted	896	2015-04-29			3902	Fungi
53	Galerina vittaeformis form. bispora		1	150				443	1a	forma		accepted	896	2015-04-29			3902	Fungi
1079	Cerastium fontanum vulgare	(Hartm.) Greuter & Burdet	1	1987			gewone hoornbloem	20863	1a	subspecies		accepted	23618	2015-04-29			45975	Plantae
2413	Haplophthalmus mengei	(Zaddach, 1844)	1	3450			kleiribbel	34269	1a	species		accepted	47241	2015-04-29			45974	Animalia
3264	Dactylorhiza fuchsii	(Druce) Soó	1	4303			bosorchis	39113	1a	species		accepted	52105	2015-04-29			45975	Plantae
3435	Dendrocopos medius	(Linnaeus, 1758)	1	4472		pic mar	middelste bonte specht	40424	1a	species		accepted	53420	2015-04-29			45974	Animalia
3436	Dendrocopos minor	(Linnaeus, 1758)	1	4473		pic épeichette	kleine bonte specht	40424	1a	species		accepted	53420	2015-04-29			45974	Animalia
3484	Carduelis flammea	(Linnaeus, 1758)	1	4519		sizerin flammé	barmsijs	40371	1a	species		accepted	53367	2015-04-29			45974	Animalia
3510	Anas penelope	Linnaeus, 1758	1	4545		canard siffleur	smient	40315	1b	species		accepted	53312	2015-04-29			45974	Animalia
3512	Anas querquedula	Linnaeus, 1758	1	4547		sarcelle d'été	zomertaling	40315	1a	species		accepted	53312	2015-04-29			45974	Animalia
3513	Anas strepera	Linnaeus, 1758	1	4548		canard chipeau	krakeend	40315	1a	species		accepted	53312	2015-04-29			45974	Animalia
3521	Anas clypeata	Linnaeus, 1758	1	4556		canard souchet	slobeend	40315	1a	species		accepted	53312	2015-04-29			45974	Animalia
4246	Morchella esculenta	(L.:Fr.) Pers.	1	5274			gewone morielje	43025	1a	species		accepted	56145	2015-04-29			3902	Fungi
4269	Phallus impudicus	L.:Pers.	1	5298			grote stinkzwam	43275	1a	species		accepted	56406	2015-04-29			3902	Fungi
4988	Hygrocybe glutinipes	(J.E. Lange) R. Haller	1	6058			kleverige wasplaat	42769	1a	species		accepted	55866	2015-04-29			3902	Fungi
16405	Agonum emarginatum	(Gyllenhal, 1827)	1	18998				37275	1a	species		accepted	50250	2015-04-29			45974	Animalia
18127	Anoplotrupes stercorosus	(Scriba, 1791)	1	20824				37798	0a	species		accepted	50782	2015-04-29			45974	Animalia
20727	Matricaria discoidea	DC.	1	23485		matricaire discoïde	schijfkamille	38820	2a	species		accepted	51812	2015-04-29			45975	Plantae
20772	Anchusa arvensis	(L.) M.Bieb.	1	23529		lycopside	kromhals	38850	1a	species		accepted	51842	2015-04-29			45975	Plantae
20801	Cardamine flexuosa	With.	1	23557		cardamine des bois	bosveldkers	38872	1a	species		accepted	51864	2015-04-29			45975	Plantae
20822	Lepidium draba	L.	1	23578		cardaire drave	pijlkruidkers	38886	2a	species		accepted	51878	2015-04-29			45975	Plantae
20856	Sambucus nigra	L.	1	23611		sureau noir	gewone vlier	38908	1a	species		accepted	51900	2015-04-29			45975	Plantae
20922	Hypericum dubium	Leers	1	23675			kantig hertshooi	38944	1a	species		accepted	51936	2015-04-29			45975	Plantae
21036	Securigera varia	(L.) Lassen	1	23787		coronille bigarrée	bont kroonkruid	39003	1a	species		accepted	51995	2015-04-29			45975	Plantae
21239	Arrhenatherum elatius	(L.) J.Presl & C.Presl	1	23986		fromentin	glanshaver	39147	1a	species		accepted	52140	2015-04-29			45975	Plantae
21410	Crataegus laevigata	(Poir.) DC.	1	24152		aubépine à deux styles	tweestijlige meidoorn	39242	1a	species		accepted	52235	2015-04-29			45975	Plantae
21519	Solanum triflorum	Nutt.	1	24257		morelle à trois fleures	driebloemige nachtschade	39293	2a	species		accepted	52286	2015-04-29			45975	Plantae
21531	Ulmus minor	Mill.	1	24269		orme champêtre	gladde iep	39302	1a	species		accepted	52295	2015-04-29			45975	Plantae
22818	Cryphia domestica	(Hüfnagel, 1766)	1	25569		perle	lichte korstmosuil	39908	0a	species		accepted	52904	2015-04-29			45974	Animalia
22820	Cryphia raptricula	(Denis & Schiffermüller, 1775)	1	25571		bryophile fraisillée	donkere korstmosuil	39908	0a	species		accepted	52904	2015-04-29			45974	Animalia
22964	Omphaloscelis lunosa	(Haworth, 1809)	1	25715		omphaloscélis à lunule	maansikkeluil	39975	0a	species		accepted	52973	2015-04-29			45974	Animalia
24679	Codium fragile	(Suringar) Hariot	1	27503			viltwier	40785	2a	species		accepted	53781	2015-04-29				
24680	Codium fragile	(Van Goor) P.C. Silva	1	27504				40785	2a	species		accepted	53781	2015-04-29				
27588	Clitocybe gibba	(Pers.:Fr.) P. Kumm.	1	32387			slanke trechterzwam	42169	1a	species		accepted	55194	2015-04-29			3902	Fungi
28496	Discula quercina	(Westend.) Arx	1	34152				17886		species		anamorph	55419	2015-04-29			3902	Fungi
28497	Discula quercina	(Cooke) Sacc.	1	34153				17886	1a	species		accepted	55419	2015-04-29			3902	Fungi
28854	Erysiphe hyperici	(Wallr.) S. Blumer	1	34685			hertshooimeeldauw	42466	3c	species		accepted	55536	2015-04-29			3902	Fungi
29438	Hemimycena lactea	(Pers.:Fr.) Singer	1	36135			sneeuwwitte mycena	42697	1a	species		accepted	55790	2015-04-29			3902	Fungi
29642	Hygrocybe conica	(Schaeff.:Fr.) P. Kumm.	1	36782			zwartwordende wasplaat	42769	1a	species		accepted	55866	2015-04-29			3902	Fungi
30529	Myxarium nucleatum	Wallr.	1	38753			klontjestrilzwam	43058	1a	species		accepted	56179	2015-04-29			3902	Fungi
30875	Panellus serotinus	(Pers.) Kühner	1	39548			groene schelpzwam	43191	1a	species		accepted	56313	2015-04-29			3902	Fungi
31695	Phytophthora nicotianae		1	41068				43287	1a	species		accepted	56418	2015-04-29			3902	Fungi
32518	Saccharomyces bayanus	Saccardo, 1895	1	43454				43551	1a	species		accepted	56697	2015-04-29			3902	Fungi
32519	Saccharomyces bayanus	Saccardo, 1895	1	43455				43551	1a	species		accepted	56697	2015-04-29			3902	Fungi
32522	Saccharomyces cerevisiae	Meyen ex E.C. Hansen 1883	1	43469			bakkersgist	43551	1a	species		accepted	56697	2015-04-29			3902	Fungi
32523	Saccharomyces cerevisiae	Meyen ex E.C. Hansen 1883	1	43470				43551	1a	species		accepted	56697	2015-04-29			3902	Fungi
34306	Bombus	Latreille, 1802	1	47278			hommels	44149		genus		to determine	57328	2015-04-29			45974	Animalia
34645	Aulacaspis	Cockerell, 1893	1	47617				44251		genus		to determine	57430	2015-04-29			45974	Animalia
35514	Glossiphonia		1	48495				44293		genus		to determine	57471	2015-04-29			45974	Animalia
40330	Polysticta	Eyton, 1836	1	53326				44941		genus		to determine	58119	2015-04-29			45974	Animalia
41015	Potamopyrgus	Stimpson, 1865	1	54015				45144		genus		to determine	58322	2015-04-29			45974	Animalia
43358	Polysticta		1	56490						genus		to determine	59179	2015-04-29				
44251	Aulacaspis		1	57430				45616		family		to determine	58794	2015-04-29			45974	Animalia
45977	Haplophthalmus mengei	Zaddach, 1844	1	59200				34269		species		accepted	47241	2015-04-29			45974	Animalia
46613	Colurella uncinata uncinata	(Müller, 1773)	1	59901				46610		subspecies		accepted	59898	2015-04-29			45974	Animalia
46614	Colurella uncinata uncinata	(Müller 1773)	1	59902				46610		subspecies		accepted	59898	2015-04-29			45974	Animalia
50450	Galerina vittiformis	(Fr.) Singer 1950	1		urn:lsid:catalogueoflife.org:taxon:d6c8b4db-2dc5-11e0-98c6-2ce70255a436					species		accepted		2015-04-29				
50556	Lactarius vellereus	(Fr.) Fr. 1838	1		urn:lsid:catalogueoflife.org:taxon:d6e71cea-2dc5-11e0-98c6-2ce70255a436					species		accepted		2015-04-29				
50937	Tubaria furfuracea	(Pers.) Gillet 1876	1		urn:lsid:catalogueoflife.org:taxon:d6e64119-2dc5-11e0-98c6-2ce70255a436					species		accepted		2015-04-29				
50980	Carduelis flammea	(Linnaeus, 1758)	1							species		accepted		2015-12-16				
51039	Bombus	Latreille, 1802	1							genus		accepted		2015-12-16				
51111	Pseudostaurosira parasitica	Morales, 2003 (W.Smith)	1							species		accepted		2016-07-06				
51255	Gammaridae		1							family		accepted		2016-07-06				
51269	Ceriodaphnia	Dana, 1853	1							genus		accepted		2016-07-06				
51285	Tetinka	Barrande, 1881	1							genus		accepted		2017-02-15				
51313	Crataegus laevigata	DC. (Poir.)	1							species		accepted		2017-02-15				
51334	Galium parisiense	L.	1							species		accepted		2017-02-15				
51498	Lactarius vellereus	Fr., 1838 (Fr.)	1							species		accepted		2017-02-21				
51520	Pseudepidalea viridis	(Laurenti, 1768)	1							species		accepted		2017-02-22				
51554	Anchusa arvensis	M. Bieb. (L.)	1							species		accepted		2017-02-22				
51616	Cardamine flexuosa	With.	1							species		accepted		2017-03-13				
51681	Anas clypeata	Linnaeus, 1758	1							species		accepted		2018-08-22				
51682	Anas strepera	Linnaeus, 1758	1							species		accepted		2018-08-22				
51684	Dendrocopos medius	(Linnaeus, 1758)	1							species		accepted		2018-08-22				
51689	Anas penelope	Linnaeus, 1758	1							species		accepted		2018-08-22				
51784	Galerina vittiformis	Singer, 1950 (Fr.)	1							species		accepted		2018-08-27				
51785	Hygrocybe conica	P.Kumm. (Schaeff.)	1							species		accepted		2018-08-27				
51789	Ulmus minor	Mill.	1							species		accepted		2018-08-27				
51794	Pseudepidalea viridis	(Laurenti, 1768)	1							species		accepted		2018-08-27				
51795	Robinia pseudoacacia	L.	1							species		accepted		2018-09-13				
51796	Sambucus nigra	L.	1							species		accepted		2018-09-13				
51799	Dipsacus sylvestris	Huds.	1							species		accepted		2018-09-13				
51800	Arrhenatherum elatius	J.Presl & C.Presl (L.)	1							species		accepted		2018-09-13				
51803	Cerastium fontanum vulgare	Greuter & Burdet (Hartm.)	1							subspecies		accepted		2018-09-13				
51808	Dipsacus sylvestris	Huds.	1							species		accepted		2018-09-13				
51810	Elymus repens	Gould (L.)	1							species		accepted		2018-09-13				
51813	Matricaria discoidea	DC.	1							species		accepted		2018-09-13				
51819	Amanita excelsa	Bertill., 1866 (Fr.)	1							species		accepted		2018-10-26				
51821	Lycoperdon pyriforme	Schaeff.	1							species		accepted		2018-10-26				
51823	Clitocybe gibba	P.Kumm. (Pers.)	1							species		accepted		2018-10-26				
51825	Hemimycena lactea	Singer (Pers.)	1							species		accepted		2018-10-26				
51828	Russula atropurpurea	Britzelm. (Krombh.)	1							species		accepted		2018-10-26				
51831	Russula atropurpurea	Britzelm. (Krombh.)	1							species		accepted		2018-11-21				
51832	Leratiomyces squamosus	Bridge & Spooner, 2008 (Pers.)	1							species		accepted		2018-11-21				
